chromosome	start	end	strand	gene_id	gene_id_base	gene_version	gene_name	gene_type	level	hgnc_id	havana_gene	tag
chr5	151696646	151697450	+	ENSG00000297385.1	ENSG00000297385	1	ENSG00000297385	lncRNA	2			
chr5	151704289	151704578	-	ENSG00000222102.1	ENSG00000222102	1	RN7SKP232	misc_RNA	3	HGNC:45956		
chr5	151724831	151725356	-	ENSG00000272112.1	ENSG00000272112	1	ENSG00000272112	lncRNA	2		OTTHUMG00000185606.1	
chr5	151728919	151772532	-	ENSG00000177556.14	ENSG00000177556	14	ATOX1	protein_coding	2	HGNC:798	OTTHUMG00000163499.5	overlapping_locus
chr5	151753054	151767247	+	ENSG00000253921.2	ENSG00000253921	2	ATOX1-AS1	lncRNA	2	HGNC:55528	OTTHUMG00000163524.1	
chr5	151765859	151771508	-	ENSG00000275765.7	ENSG00000275765	7	ENSG00000275765	lncRNA	2		OTTHUMG00000189272.1	overlapping_locus
chr5	151765897	151766239	-	ENSG00000213433.6	ENSG00000213433	6	RPLP1P6	transcribed_processed_pseudogene	1	HGNC:35809	OTTHUMG00000157909.2	pseudo_consens,overlapping_locus
chr5	151770951	151812911	+	ENSG00000145907.18	ENSG00000145907	18	G3BP1	protein_coding	2	HGNC:30292	OTTHUMG00000130123.4	
chr5	151822513	151924851	-	ENSG00000145888.11	ENSG00000145888	11	GLRA1	protein_coding	2	HGNC:4326	OTTHUMG00000130121.2	ncRNA_host
chr5	151848886	151850791	+	ENSG00000270978.1	ENSG00000270978	1	ENSG00000270978	processed_pseudogene	1		OTTHUMG00000184548.1	pseudo_consens
chr5	151857704	151877172	+	ENSG00000302741.1	ENSG00000302741	1	ENSG00000302741	lncRNA	2			
chr5	151875566	151875692	-	ENSG00000222308.1	ENSG00000222308	1	RNA5SP198	rRNA_pseudogene	3	HGNC:43098		
chr5	151924949	152029196	+	ENSG00000293808.1	ENSG00000293808	1	ENSG00000293808	lncRNA	2			
chr5	151944525	151948225	-	ENSG00000293830.1	ENSG00000293830	1	ENSG00000293830	lncRNA	2			
chr5	151949571	152270449	+	ENSG00000254226.7	ENSG00000254226	7	LINC01933	lncRNA	2	HGNC:52756	OTTHUMG00000163523.4	
chr5	152144075	152181199	-	ENSG00000301093.1	ENSG00000301093	1	ENSG00000301093	lncRNA	2			
chr5	152294325	152306940	-	ENSG00000300486.1	ENSG00000300486	1	ENSG00000300486	lncRNA	2			
chr5	152336119	152726160	+	ENSG00000286749.2	ENSG00000286749	2	ENSG00000286749	lncRNA	2		OTTHUMG00000195214.1	
chr5	152391542	152433368	-	ENSG00000132911.7	ENSG00000132911	7	NMUR2	protein_coding	2	HGNC:16454	OTTHUMG00000130131.2	
chr5	152495718	152496017	-	ENSG00000242080.1	ENSG00000242080	1	RPL36AP20	processed_pseudogene	1	HGNC:36250	OTTHUMG00000157910.1	pseudo_consens
chr5	152618965	153223629	-	ENSG00000249484.10	ENSG00000249484	10	LINC01470	lncRNA	2	HGNC:51105	OTTHUMG00000163486.7	
chr5	153086548	153137909	-	ENSG00000306270.1	ENSG00000306270	1	ENSG00000306270	lncRNA	2			
chr5	153275941	153350317	-	ENSG00000310234.1	ENSG00000310234	1	ENSG00000310234	lncRNA	2			
chr5	153489615	153813869	+	ENSG00000155511.20	ENSG00000155511	20	GRIA1	protein_coding	1	HGNC:4571	OTTHUMG00000130148.7	ncRNA_host
chr5	153755382	153755680	+	ENSG00000242976.3	ENSG00000242976	3	RN7SL177P	misc_RNA	3	HGNC:46193		
chr5	153887428	153898987	-	ENSG00000251183.1	ENSG00000251183	1	LINC01861	lncRNA	2	HGNC:52680	OTTHUMG00000163488.1	
chr5	153901459	153903223	+	ENSG00000261382.1	ENSG00000261382	1	ENSG00000261382	lncRNA	2		OTTHUMG00000175437.2	
chr5	153976033	153985691	-	ENSG00000304006.1	ENSG00000304006	1	ENSG00000304006	lncRNA	2			
chr5	153990133	154038936	-	ENSG00000055147.21	ENSG00000055147	21	FAM114A2	protein_coding	2	HGNC:1333	OTTHUMG00000130147.15	
chr5	154038955	154220478	+	ENSG00000037749.15	ENSG00000037749	15	MFAP3	protein_coding	2	HGNC:7034	OTTHUMG00000130149.4	overlapping_locus
chr5	154174980	154190428	-	ENSG00000299992.1	ENSG00000299992	1	ENSG00000299992	lncRNA	2			
chr5	154185476	154185867	+	ENSG00000300013.1	ENSG00000300013	1	ENSG00000300013	lncRNA	2			overlapping_locus
chr5	154189988	154420984	+	ENSG00000164574.18	ENSG00000164574	18	GALNT10	protein_coding	2	HGNC:19873	OTTHUMG00000130145.5	ncRNA_host,overlapping_locus
chr5	154325568	154445855	-	ENSG00000245275.10	ENSG00000245275	10	SAP30L-AS1	lncRNA	2	HGNC:26760	OTTHUMG00000163570.7	overlapping_locus
chr5	154337471	154338452	-	ENSG00000253119.1	ENSG00000253119	1	HNRNPA3P7	processed_pseudogene	1	HGNC:48496	OTTHUMG00000163603.1	pseudo_consens,overlapping_locus
chr5	154346042	154347834	+	ENSG00000287695.1	ENSG00000287695	1	ENSG00000287695	lncRNA	2		OTTHUMG00000195422.1	ncRNA_host,overlapping_locus
chr5	154347106	154347247	+	ENSG00000221430.1	ENSG00000221430	1	MIR1294	miRNA	3	HGNC:35287		
chr5	154349428	154349725	+	ENSG00000241963.3	ENSG00000241963	3	RN7SL655P	misc_RNA	3	HGNC:46671		
chr5	154445976	154461053	+	ENSG00000164576.14	ENSG00000164576	14	SAP30L	protein_coding	2	HGNC:25663	OTTHUMG00000130146.7	
chr5	154472103	154478356	-	ENSG00000113196.5	ENSG00000113196	5	HAND1	protein_coding	2	HGNC:4807	OTTHUMG00000130193.2	
chr5	154477341	154486879	+	ENSG00000306071.1	ENSG00000306071	1	ENSG00000306071	lncRNA	2			
chr5	154483917	154486304	-	ENSG00000254293.2	ENSG00000254293	2	ENSG00000254293	lncRNA	2		OTTHUMG00000163601.1	
chr5	154493576	154494743	+	ENSG00000253886.1	ENSG00000253886	1	ENSG00000253886	processed_pseudogene	1		OTTHUMG00000163602.2	pseudo_consens
chr5	154559308	154560440	-	ENSG00000253146.1	ENSG00000253146	1	CIR1P1	processed_pseudogene	1	HGNC:44011	OTTHUMG00000164140.1	pseudo_consens
chr5	154596012	154596072	-	ENSG00000264760.1	ENSG00000264760	1	MIR3141	miRNA	3	HGNC:38326		
chr5	154682986	154817607	+	ENSG00000155506.21	ENSG00000155506	21	LARP1	protein_coding	1	HGNC:29531	OTTHUMG00000130191.4	ncRNA_host,overlapping_locus
chr5	154685776	154685861	+	ENSG00000221552.1	ENSG00000221552	1	MIR1303	miRNA	3	HGNC:35301		
chr5	154705626	154705727	+	ENSG00000274472.1	ENSG00000274472	1	Y_RNA	misc_RNA	3			
chr5	154718383	154718689	-	ENSG00000272197.2	ENSG00000272197	2	RN7SL803P	misc_RNA	3	HGNC:46819		
chr5	154729231	154729694	+	ENSG00000241187.1	ENSG00000241187	1	RPL21P57	processed_pseudogene	1	HGNC:36644	OTTHUMG00000157914.1	pseudo_consens,overlapping_locus
chr5	154739202	154740716	+	ENSG00000295720.1	ENSG00000295720	1	ENSG00000295720	lncRNA	2			overlapping_locus
chr5	154818486	154859252	-	ENSG00000170271.13	ENSG00000170271	13	FAXDC2	protein_coding	1	HGNC:1334	OTTHUMG00000164141.3	
chr5	154821943	154822258	+	ENSG00000277039.1	ENSG00000277039	1	Metazoa_SRP	misc_RNA	3			
chr5	154829458	154829540	+	ENSG00000263361.1	ENSG00000263361	1	MIR378H	miRNA	3	HGNC:41744		
chr5	154857529	154876793	+	ENSG00000155508.16	ENSG00000155508	16	CNOT8	protein_coding	1	HGNC:9207	OTTHUMG00000130192.3	
chr5	154878913	154888761	+	ENSG00000309402.1	ENSG00000309402	1	ENSG00000309402	lncRNA	2			
chr5	154886740	154938242	-	ENSG00000082516.10	ENSG00000082516	10	GEMIN5	protein_coding	2	HGNC:20043	OTTHUMG00000130189.3	
chr5	154941064	154971241	+	ENSG00000082515.20	ENSG00000082515	20	MRPL22	protein_coding	2	HGNC:14480	OTTHUMG00000130190.3	
chr5	154993598	154994445	+	ENSG00000253261.1	ENSG00000253261	1	ENSG00000253261	processed_pseudogene	1		OTTHUMG00000164142.1	pseudo_consens
chr5	155013755	155018141	+	ENSG00000226650.6	ENSG00000226650	6	KIF4B	protein_coding	2	HGNC:6322	OTTHUMG00000164143.2	retrogene
chr5	155087430	155199252	+	ENSG00000287963.2	ENSG00000287963	2	ENSG00000287963	lncRNA	2		OTTHUMG00000195186.1	
chr5	155111184	155112324	-	ENSG00000253646.1	ENSG00000253646	1	RPL6P32	processed_pseudogene	1	HGNC:55891	OTTHUMG00000164144.1	pseudo_consens
chr5	155309190	155311970	+	ENSG00000309738.1	ENSG00000309738	1	ENSG00000309738	lncRNA	2			
chr5	155346618	155347880	-	ENSG00000308364.1	ENSG00000308364	1	ENSG00000308364	lncRNA	2			
chr5	155397291	155398353	+	ENSG00000271477.1	ENSG00000271477	1	ENSG00000271477	processed_pseudogene	1		OTTHUMG00000184554.2	pseudo_consens
chr5	155416994	155507404	+	ENSG00000298918.1	ENSG00000298918	1	ENSG00000298918	lncRNA	2			
chr5	155491336	155493598	+	ENSG00000270442.1	ENSG00000270442	1	ENSG00000270442	processed_pseudogene	1		OTTHUMG00000184569.1	pseudo_consens
chr5	155587167	155603801	+	ENSG00000296753.1	ENSG00000296753	1	ENSG00000296753	lncRNA	2			
chr5	155728520	155854631	+	ENSG00000298352.1	ENSG00000298352	1	ENSG00000298352	lncRNA	2			ncRNA_host
chr5	155845437	155845528	+	ENSG00000200275.1	ENSG00000200275	1	RNA5SP199	rRNA_pseudogene	3	HGNC:43099		
chr5	155870344	156767788	+	ENSG00000170624.16	ENSG00000170624	16	SGCD	protein_coding	2	HGNC:10807	OTTHUMG00000163445.4	
chr5	156019228	156039977	-	ENSG00000286690.1	ENSG00000286690	1	ENSG00000286690	lncRNA	2		OTTHUMG00000195472.1	
chr5	156088788	156109452	-	ENSG00000308227.1	ENSG00000308227	1	ENSG00000308227	lncRNA	2			
chr5	156458398	156458507	-	ENSG00000253370.2	ENSG00000253370	2	ENSG00000253370	unprocessed_pseudogene	2		OTTHUMG00000163451.2	
chr5	156657794	156666616	-	ENSG00000293586.2	ENSG00000293586	2	ENSG00000293586	lncRNA	2			
chr5	156704058	156739812	-	ENSG00000254163.1	ENSG00000254163	1	ENSG00000254163	lncRNA	1		OTTHUMG00000163450.1	
chr5	156714812	156723329	-	ENSG00000294311.1	ENSG00000294311	1	ENSG00000294311	lncRNA	2			
chr5	156814130	156814234	+	ENSG00000199468.1	ENSG00000199468	1	RNU6-556P	snRNA	3	HGNC:47519		
chr5	156850295	156852528	+	ENSG00000231989.5	ENSG00000231989	5	PPP1R2B	protein_coding	2	HGNC:16318	OTTHUMG00000163467.4	retrogene
chr5	156918639	156963230	-	ENSG00000145850.10	ENSG00000145850	10	TIMD4	protein_coding	2	HGNC:25132	OTTHUMG00000130244.3	
chr5	156924119	156924710	+	ENSG00000270560.1	ENSG00000270560	1	APOOP1	processed_pseudogene	1	HGNC:48739	OTTHUMG00000184530.1	pseudo_consens
chr5	157025939	157069396	-	ENSG00000113249.16	ENSG00000113249	16	HAVCR1	protein_coding	2	HGNC:17866	OTTHUMG00000163466.4	
chr5	157085422	157142869	-	ENSG00000135077.12	ENSG00000135077	12	HAVCR2	protein_coding	2	HGNC:18437	OTTHUMG00000130249.4	overlapping_locus
chr5	157104788	157114900	+	ENSG00000254246.1	ENSG00000254246	1	ENSG00000254246	lncRNA	1		OTTHUMG00000163482.1	
chr5	157134848	157159019	-	ENSG00000155868.10	ENSG00000155868	10	MED7	protein_coding	2	HGNC:2378	OTTHUMG00000130243.5	overlapping_locus
chr5	157142933	157255185	+	ENSG00000113263.16	ENSG00000113263	16	ITK	protein_coding	2	HGNC:6171	OTTHUMG00000130245.4	
chr5	157161846	157166264	-	ENSG00000170613.4	ENSG00000170613	4	GARIN3	protein_coding	2	HGNC:28397	OTTHUMG00000130246.2	
chr5	157199242	157224380	-	ENSG00000253980.1	ENSG00000253980	1	ENSG00000253980	lncRNA	2		OTTHUMG00000163481.1	
chr5	157260122	157266625	-	ENSG00000253653.1	ENSG00000253653	1	ENSG00000253653	lncRNA	1		OTTHUMG00000163496.1	
chr5	157266079	157395595	+	ENSG00000055163.23	ENSG00000055163	23	CYFIP2	protein_coding	1	HGNC:13760	OTTHUMG00000163484.7	
chr5	157341596	157460100	-	ENSG00000285868.1	ENSG00000285868	1	ENSG00000285868	protein_coding	2		OTTHUMG00000193404.1	readthrough_gene
chr5	157341598	157345766	-	ENSG00000172568.6	ENSG00000172568	6	FNDC9	protein_coding	2	HGNC:33547	OTTHUMG00000130248.5	overlapping_locus
chr5	157363382	157365501	-	ENSG00000251405.3	ENSG00000251405	3	NIPAL4-DT	lncRNA	1	HGNC:55542	OTTHUMG00000163480.3	overlapping_locus
chr5	157375741	157384950	-	ENSG00000248544.2	ENSG00000248544	2	ENSG00000248544	lncRNA	1		OTTHUMG00000163483.2	overlapping_locus
chr5	157395534	157575858	-	ENSG00000135074.18	ENSG00000135074	18	ADAM19	protein_coding	2	HGNC:197	OTTHUMG00000130242.2	overlapping_locus
chr5	157422439	157422873	+	ENSG00000253155.1	ENSG00000253155	1	ENSG00000253155	processed_pseudogene	1		OTTHUMG00000157917.1	pseudo_consens
chr5	157460213	157474723	+	ENSG00000172548.16	ENSG00000172548	16	NIPAL4	protein_coding	2	HGNC:28018	OTTHUMG00000163497.1	
chr5	157565964	157576617	+	ENSG00000253519.2	ENSG00000253519	2	ENSG00000253519	lncRNA	2		OTTHUMG00000163509.1	
chr5	157579497	157579599	+	ENSG00000252068.1	ENSG00000252068	1	RNU6-390P	snRNA	3	HGNC:47353		
chr5	157604707	157605637	-	ENSG00000254336.1	ENSG00000254336	1	ENSG00000254336	processed_pseudogene	1		OTTHUMG00000163510.1	pseudo_consens
chr5	157624798	157671480	-	ENSG00000039600.13	ENSG00000039600	13	SOX30	protein_coding	2	HGNC:30635	OTTHUMG00000130247.3	
chr5	157651803	157657989	+	ENSG00000305473.1	ENSG00000305473	1	ENSG00000305473	lncRNA	2			
chr5	157671515	157680174	+	ENSG00000187658.8	ENSG00000187658	8	C5orf52	protein_coding	2	HGNC:35121	OTTHUMG00000154518.2	
chr5	157682985	157691136	-	ENSG00000290601.2	ENSG00000290601	2	ENSG00000290601	lncRNA	2			overlaps_pseudogene
chr5	157689934	157690878	-	ENSG00000253798.3	ENSG00000253798	3	ENSG00000253798	transcribed_unprocessed_pseudogene	2		OTTHUMG00000163511.2	
chr5	157696231	157711125	+	ENSG00000300071.1	ENSG00000300071	1	ENSG00000300071	lncRNA	2			
chr5	157714153	157731684	-	ENSG00000309117.1	ENSG00000309117	1	ENSG00000309117	lncRNA	2			
chr5	157731402	157741449	+	ENSG00000113272.16	ENSG00000113272	16	THG1L	protein_coding	2	HGNC:26053	OTTHUMG00000130254.5	
chr5	157731799	157732244	+	ENSG00000309134.1	ENSG00000309134	1	ENSG00000309134	lncRNA	2			overlapping_locus
chr5	157743706	157760709	+	ENSG00000155858.7	ENSG00000155858	7	LSM11	protein_coding	2	HGNC:30860	OTTHUMG00000130255.3	
chr5	157747504	157747707	-	ENSG00000253630.1	ENSG00000253630	1	ENSG00000253630	unprocessed_pseudogene	2		OTTHUMG00000163528.1	
chr5	157783121	157859206	-	ENSG00000113282.16	ENSG00000113282	16	CLINT1	protein_coding	1	HGNC:23186	OTTHUMG00000163527.3	
chr5	157809098	157809204	+	ENSG00000206819.1	ENSG00000206819	1	RNU6-260P	snRNA	3	HGNC:47223		
chr5	157859219	157861814	+	ENSG00000295935.1	ENSG00000295935	1	ENSG00000295935	lncRNA	2			
chr5	157871487	157887985	-	ENSG00000310258.1	ENSG00000310258	1	ENSG00000310258	lncRNA	2			
chr5	157931258	157931563	-	ENSG00000244331.1	ENSG00000244331	1	ENSG00000244331	processed_pseudogene	1		OTTHUMG00000157920.1	pseudo_consens
chr5	157976766	157976956	-	ENSG00000222626.1	ENSG00000222626	1	RNU2-48P	snRNA	3	HGNC:48541		
chr5	157984658	157989990	-	ENSG00000253743.1	ENSG00000253743	1	MARK2P11	unprocessed_pseudogene	1	HGNC:39802	OTTHUMG00000163529.3	pseudo_consens,overlapping_locus
chr5	157986146	157987706	-	ENSG00000213414.3	ENSG00000213414	3	ENSG00000213414	processed_pseudogene	1		OTTHUMG00000163566.1	pseudo_consens,overlapping_locus
chr5	158078099	158078764	-	ENSG00000253422.1	ENSG00000253422	1	ENSG00000253422	processed_pseudogene	1		OTTHUMG00000163533.1	pseudo_consens
chr5	158173330	158176445	-	ENSG00000253792.2	ENSG00000253792	2	ENSG00000253792	lncRNA	2		OTTHUMG00000163534.1	
chr5	158175360	158375098	+	ENSG00000253673.2	ENSG00000253673	2	ENSG00000253673	lncRNA	2		OTTHUMG00000163515.1	
chr5	158188977	158189911	-	ENSG00000254047.2	ENSG00000254047	2	ENSG00000254047	processed_pseudogene	1		OTTHUMG00000163532.2	pseudo_consens
chr5	158225352	158234376	-	ENSG00000253449.1	ENSG00000253449	1	ENSG00000253449	lncRNA	2		OTTHUMG00000163530.1	
chr5	158256137	158258436	+	ENSG00000253424.1	ENSG00000253424	1	ENSG00000253424	lncRNA	2		OTTHUMG00000163521.1	
chr5	158275711	158278813	+	ENSG00000253134.1	ENSG00000253134	1	ENSG00000253134	lncRNA	2		OTTHUMG00000163517.1	
chr5	158287095	158288194	+	ENSG00000305267.1	ENSG00000305267	1	ENSG00000305267	lncRNA	2			
chr5	158320683	158515176	-	ENSG00000276778.2	ENSG00000276778	2	LINC02227	lncRNA	2	HGNC:53096	OTTHUMG00000186522.1	
chr5	158424027	158464681	+	ENSG00000254350.2	ENSG00000254350	2	ENSG00000254350	lncRNA	2		OTTHUMG00000163518.1	
chr5	158485190	158588949	+	ENSG00000254135.4	ENSG00000254135	4	ENSG00000254135	lncRNA	2		OTTHUMG00000163519.6	
chr5	158695920	159100331	-	ENSG00000164330.20	ENSG00000164330	20	EBF1	protein_coding	1	HGNC:3126	OTTHUMG00000130304.5	
chr5	158983006	158984789	+	ENSG00000253811.1	ENSG00000253811	1	ENSG00000253811	lncRNA	2		OTTHUMG00000163516.1	
chr5	158985806	158987199	+	ENSG00000253456.1	ENSG00000253456	1	ENSG00000253456	lncRNA	2		OTTHUMG00000163514.1	
chr5	159099960	159162049	+	ENSG00000245812.6	ENSG00000245812	6	LINC02202	lncRNA	1	HGNC:53068	OTTHUMG00000163513.2	overlapping_locus
chr5	159106380	159108617	+	ENSG00000279204.1	ENSG00000279204	1	ENSG00000279204	TEC	2		OTTHUMG00000185339.1	overlapping_locus
chr5	159109293	159131172	-	ENSG00000307478.1	ENSG00000307478	1	ENSG00000307478	lncRNA	2			
chr5	159154603	159210053	-	ENSG00000145860.14	ENSG00000145860	14	RNF145	protein_coding	1	HGNC:20853	OTTHUMG00000130306.5	
chr5	159209881	159249997	+	ENSG00000253315.2	ENSG00000253315	2	LINC01932	lncRNA	2	HGNC:52755	OTTHUMG00000163520.1	ncRNA_host,overlapping_locus
chr5	159230194	159230322	+	ENSG00000252458.1	ENSG00000252458	1	ENSG00000252458	snoRNA	3			
chr5	159237936	159263268	-	ENSG00000288764.3	ENSG00000288764	3	ENSG00000288764	lncRNA	2			
chr5	159263072	159287721	+	ENSG00000164332.10	ENSG00000164332	10	UBLCP1	protein_coding	2	HGNC:28110	OTTHUMG00000130305.4	
chr5	159299333	159310677	-	ENSG00000299638.1	ENSG00000299638	1	ENSG00000299638	lncRNA	2			
chr5	159310579	159805536	+	ENSG00000249738.11	ENSG00000249738	11	IL12B-AS1	lncRNA	2	HGNC:58156	OTTHUMG00000163541.5	ncRNA_host
chr5	159314780	159330863	-	ENSG00000113302.7	ENSG00000113302	7	IL12B	protein_coding	2	HGNC:5970	OTTHUMG00000130307.4	
chr5	159318042	159318167	+	ENSG00000221601.1	ENSG00000221601	1	RNU4ATAC2P	snRNA	3	HGNC:39003		
chr5	159448556	159466291	-	ENSG00000253298.2	ENSG00000253298	2	LINC01845	lncRNA	2	HGNC:27747	OTTHUMG00000163542.3	
chr5	159484122	159520427	-	ENSG00000283413.2	ENSG00000283413	2	ENSG00000283413	lncRNA	2		OTTHUMG00000191707.1	
chr5	159698584	159937766	-	ENSG00000253311.4	ENSG00000253311	4	LINC01847	lncRNA	2	HGNC:52662	OTTHUMG00000163543.5	
chr5	159865080	159973012	+	ENSG00000170214.6	ENSG00000170214	6	ADRA1B	protein_coding	2	HGNC:278	OTTHUMG00000130327.3	
chr5	159920880	159926503	+	ENSG00000306315.1	ENSG00000306315	1	ENSG00000306315	lncRNA	2			overlapping_locus
chr5	159950493	159951498	-	ENSG00000248626.1	ENSG00000248626	1	GAPDHP40	processed_pseudogene	1	HGNC:37797	OTTHUMG00000159985.1	pseudo_consens
chr5	160008445	160008546	+	ENSG00000199398.1	ENSG00000199398	1	Y_RNA	misc_RNA	3			
chr5	160009100	160065550	+	ENSG00000113312.14	ENSG00000113312	14	TTC1	protein_coding	1	HGNC:12391	OTTHUMG00000130326.5	
chr5	160023740	160024045	-	ENSG00000223908.5	ENSG00000223908	5	ENSG00000223908	processed_pseudogene	1		OTTHUMG00000163545.3	pseudo_consens
chr5	160044317	160119478	-	ENSG00000170234.15	ENSG00000170234	15	PWWP2A	protein_coding	1	HGNC:29406	OTTHUMG00000163546.4	
chr5	160160322	160167010	+	ENSG00000301595.1	ENSG00000301595	1	ENSG00000301595	lncRNA	2			
chr5	160174383	160175835	-	ENSG00000301645.1	ENSG00000301645	1	ENSG00000301645	lncRNA	2			
chr5	160187363	160238735	+	ENSG00000170231.18	ENSG00000170231	18	FABP6	protein_coding	2	HGNC:3561	OTTHUMG00000130329.6	
chr5	160188051	160193440	-	ENSG00000301614.1	ENSG00000301614	1	ENSG00000301614	lncRNA	2			
chr5	160195736	160204826	-	ENSG00000247699.3	ENSG00000247699	3	FABP6-AS1	lncRNA	1	HGNC:40226	OTTHUMG00000163565.1	
chr5	160247517	160248217	+	ENSG00000253772.1	ENSG00000253772	1	ENSG00000253772	processed_pseudogene	1		OTTHUMG00000163539.1	pseudo_consens
chr5	160248409	160345396	-	ENSG00000135083.19	ENSG00000135083	19	CCNJL	protein_coding	1	HGNC:25876	OTTHUMG00000130325.6	
chr5	160258253	160258585	+	ENSG00000254373.1	ENSG00000254373	1	ENSG00000254373	processed_pseudogene	1		OTTHUMG00000163538.1	pseudo_consens
chr5	160326693	160326969	+	ENSG00000270612.1	ENSG00000270612	1	ENSG00000270612	processed_pseudogene	1		OTTHUMG00000184574.1	pseudo_consens
chr5	160347363	160370666	-	ENSG00000145861.11	ENSG00000145861	11	C1QTNF2	protein_coding	2	HGNC:14325	OTTHUMG00000130323.4	
chr5	160392277	160400091	-	ENSG00000221886.6	ENSG00000221886	6	FAM200C	protein_coding	2	HGNC:30804	OTTHUMG00000163554.2	
chr5	160400535	160421711	-	ENSG00000164609.12	ENSG00000164609	12	SLU7	protein_coding	2	HGNC:16939	OTTHUMG00000130324.4	
chr5	160421801	160428748	+	ENSG00000164611.15	ENSG00000164611	15	PTTG1	protein_coding	2	HGNC:9690	OTTHUMG00000130328.6	
chr5	160438594	160600965	+	ENSG00000253522.7	ENSG00000253522	7	MIR3142HG	lncRNA	2	HGNC:51944	OTTHUMG00000163553.2	ncRNA_host
chr5	160474402	160474483	+	ENSG00000265237.1	ENSG00000265237	1	MIR3142	miRNA	3	HGNC:38297		
chr5	160485352	160485450	+	ENSG00000283733.1	ENSG00000283733	1	MIR146A	miRNA	3	HGNC:31533		
chr5	160524087	160524709	+	ENSG00000300280.1	ENSG00000300280	1	ENSG00000300280	lncRNA	2			
chr5	160563120	160852214	-	ENSG00000118322.15	ENSG00000118322	15	ATP10B	protein_coding	1	HGNC:13543	OTTHUMG00000163551.4	
chr5	160613873	160639183	+	ENSG00000253687.1	ENSG00000253687	1	ENSG00000253687	lncRNA	2		OTTHUMG00000163561.1	
chr5	160685351	160692889	+	ENSG00000254391.1	ENSG00000254391	1	ENSG00000254391	lncRNA	2		OTTHUMG00000163552.1	
chr5	160931778	160938626	-	ENSG00000253417.5	ENSG00000253417	5	LINC02159	lncRNA	2	HGNC:27749	OTTHUMG00000163562.1	
chr5	161108415	161109154	+	ENSG00000294073.1	ENSG00000294073	1	ENSG00000294073	lncRNA	2			
chr5	161288418	161549044	-	ENSG00000145864.16	ENSG00000145864	16	GABRB2	protein_coding	2	HGNC:4082	OTTHUMG00000130349.3	
chr5	161491558	161522847	+	ENSG00000300659.1	ENSG00000300659	1	ENSG00000300659	lncRNA	2			
chr5	161547063	161702593	+	ENSG00000145863.11	ENSG00000145863	11	GABRA6	protein_coding	1	HGNC:4080	OTTHUMG00000130351.5	
chr5	161687347	161689408	-	ENSG00000253403.1	ENSG00000253403	1	GABRA6-AS1	lncRNA	1	HGNC:40248	OTTHUMG00000163585.1	
chr5	161751448	161751768	-	ENSG00000118990.5	ENSG00000118990	5	GLRXP3	processed_pseudogene	1	HGNC:34049	OTTHUMG00000157505.1	pseudo_consens
chr5	161808851	161850590	-	ENSG00000294143.1	ENSG00000294143	1	ENSG00000294143	lncRNA	2			
chr5	161847063	161899981	+	ENSG00000022355.20	ENSG00000022355	20	GABRA1	protein_coding	2	HGNC:4075	OTTHUMG00000163586.11	
chr5	161907111	162036954	-	ENSG00000280776.3	ENSG00000280776	3	LINC01202	lncRNA	2	HGNC:49633	OTTHUMG00000189552.2	
chr5	162000057	162162977	+	ENSG00000113327.19	ENSG00000113327	19	GABRG2	protein_coding	2	HGNC:4087	OTTHUMG00000130350.8	
chr5	162210902	162239333	-	ENSG00000306643.1	ENSG00000306643	1	ENSG00000306643	lncRNA	2			
chr5	162248319	162257296	+	ENSG00000300852.1	ENSG00000300852	1	ENSG00000300852	lncRNA	2			
chr5	162424042	163437437	-	ENSG00000254186.4	ENSG00000254186	4	ENSG00000254186	lncRNA	2		OTTHUMG00000163326.8	
chr5	162477891	162477993	+	ENSG00000201474.1	ENSG00000201474	1	RNU6-164P	snRNA	3	HGNC:47127		
chr5	162761833	162762313	+	ENSG00000254351.1	ENSG00000254351	1	ARL2BPP5	processed_pseudogene	1	HGNC:39449	OTTHUMG00000163550.1	pseudo_consens
chr5	163039291	163039599	+	ENSG00000249449.1	ENSG00000249449	1	MRPL57P6	processed_pseudogene	2	HGNC:29689	OTTHUMG00000163327.1	
chr5	163416525	163416731	+	ENSG00000250114.1	ENSG00000250114	1	ENSG00000250114	unprocessed_pseudogene	2		OTTHUMG00000163375.1	
chr5	163437569	163457635	+	ENSG00000113328.23	ENSG00000113328	23	CCNG1	protein_coding	1	HGNC:1592	OTTHUMG00000130380.9	
chr5	163446526	163460404	-	ENSG00000170584.14	ENSG00000170584	14	NUDCD2	protein_coding	2	HGNC:30535	OTTHUMG00000130378.4	
chr5	163460203	163491945	+	ENSG00000072571.22	ENSG00000072571	22	HMMR	protein_coding	2	HGNC:5012	OTTHUMG00000130381.8	
chr5	163483065	163494058	-	ENSG00000251018.2	ENSG00000251018	2	HMMR-AS1	lncRNA	2	HGNC:49149	OTTHUMG00000163557.1	
chr5	163503109	163519588	+	ENSG00000038274.20	ENSG00000038274	20	MAT2B	protein_coding	2	HGNC:6905	OTTHUMG00000130379.7	
chr5	163581906	163612611	-	ENSG00000285590.2	ENSG00000285590	2	ENSG00000285590	lncRNA	2		OTTHUMG00000192780.1	
chr5	163709210	163709514	-	ENSG00000224012.3	ENSG00000224012	3	ENSG00000224012	processed_pseudogene	1		OTTHUMG00000162875.1	pseudo_consens
chr5	163727271	163731641	+	ENSG00000303920.1	ENSG00000303920	1	ENSG00000303920	lncRNA	2			
